name,url,category,subcategory,flash
Ambicular,http://www.ambicular.com/,Audio,Ambient,FALSE
ASMR Generator,http://asmrion.com/,Audio,Ambient,FALSE
Noisli,https://www.noisli.com/,Audio,Ambient,FALSE
Rain Sound Generator,https://rain.today/,Audio,Ambient,FALSE
Snowy Escape,http://snowyescape.com/,Audio,Ambient,FALSE
Groove Pizza,https://apps.musedlab.org/groovepizza/,Audio,Music,FALSE
HTML5 Drum Kit,http://www.randomthink.net/labs/html5drums/,Audio,Music,FALSE
New Years Musicbox,https://www.newyearsmusicbox.com/,Audio,Music,FALSE
Record Tripping,http://www.recordtripping.com/,Audio,Music,TRUE
Rick Astley Remixer,http://dinahmoelabs.com/rickastley,Audio,Music,FALSE
Sampulator,http://sampulator.com/,Audio,Music,FALSE
Scribble Audio,http://scribble.audio/,Audio,Music,FALSE
Swingify,http://www.musinformatics.com/swingify,Audio,Music,FALSE
Touch Pianist,http://touchpianist.com/,Audio,Music,FALSE
Cellular Tones,https://civim.org/experiment/eb2/,Audio,Other,FALSE
Chrome Music Lab,https://musiclab.chromeexperiments.com/,Audio,Other,FALSE
Key Light,https://lab.hakim.se/keylight/03b/,Audio,Other,FALSE
Patatap,http://www.patatap.com/,Audio,Other,FALSE
Radio Garden,http://radio.garden/live/,Audio,Other,FALSE
Typatone,https://www.typatone.com/,Audio,Other,FALSE
AutoDraw,https://www.autodraw.com/,Creative,,FALSE
Circular,http://vladgotlib.com/circular/,Creative,,FALSE
FlipAnim,http://flipanim.com/,Creative,,FALSE
Pixel Art,http://pixl8.xyz/,Creative,,FALSE
Toonator,http://toonator.com/draw/,Creative,,TRUE
Voxsculpt,https://joshshadik.github.io/voxsculpt/src/,Creative,,FALSE
Cookie Clicker,http://orteil.dashnet.org/cookieclicker/,Games,Clicker,FALSE
Paperclips,http://www.decisionproblem.com/paperclips/index2.html,Games,Clicker,FALSE
Agar.io,http://agar.io/,Games,Multiplayer,FALSE
Bonk.io,http://bonk.io/,Games,Multiplayer,TRUE
Braains.io,http://braains.io/,Games,Multiplayer,FALSE
Cursors.io,http://cursors.io/,Games,Multiplayer,FALSE
Curve Fever,http://curvefever.io/,Games,Multiplayer,FALSE
Diep.io,http://diep.io/,Games,Multiplayer,FALSE
MooMoo.io,http://moomoo.io/,Games,Multiplayer,FALSE
Mope.io,http://mope.io,Games,Multiplayer,FALSE
Multiplayer Puzzle,http://www.epuzzle.info/multiplayer,Games,Multiplayer,FALSE
Skribbl.io,https://skribbl.io/,Games,Multiplayer,FALSE
Slither.io,http://slither.io/,Games,Multiplayer,FALSE
